5-100-100-100		1.084377032611883e-12
5-80-100-100		2.5401014625003882e-12
1-80-100-50		2.8991644640541383e-10
1-100-100-50		6.06482419840404e-10
5-100-100-50		8.566064302328868e-10
1-100-100-100		1.650900660621346e-09
10-100-100-100		2.4296884415520025e-08
10-60-100-100		3.377525219505628e-08
10-60-100-50		3.2739620730026787e-07
5-80-100-25		1.1750061822102253e-05
10-80-100-25		1.8940929011268536e-05
10-80-50-100		3.253687957043283e-05
10-80-100-100		4.835813930990085e-05
5-80-50-100		4.863093016149733e-05
5-100-50-100		5.836468023607821e-05
1-80-100-100		7.893822147151398e-05
10-60-100-25		0.0001206549289075376
10-80-100-50		0.0001640649981848874
10-100-100-25		0.0001740323083553541
5-60-100-100		0.00021577986613623422
10-100-50-100		0.00023258772139174156
1-100-100-25		0.0002605746655809149
5-60-100-50		0.00026997468280685053
10-60-50-100		0.00040553959612905645
1-100-50-25		0.0005803290399899019
10-100-50-50		0.0005936764926075533
10-80-50-50		0.0007414169583499052
10-100-100-50		0.0007503482867451617
1-80-100-25		0.001028771046084298
5-100-100-25		0.0010636155673139137
5-80-100-50		0.0013341738652413505
10-60-50-25		0.0021329170937876007
5-80-50-50		0.0022157389249863437
10-100-50-25		0.0027112748767867067
1-80-50-100		0.004060995307799953
5-100-50-50		0.004142611365137316
1-60-100-50		0.0043809694857956495
1-100-50-50		0.004481778014762216
1-80-50-25		0.004903437496193508
5-60-100-25		0.0053103433963415545
1-60-100-100		0.005353087900729125
1-60-50-50		0.005426266744046604
10-80-50-25		0.005433519479397386
5-60-50-100		0.006445929315503829
1-100-50-100		0.006483131714686952
10-60-25-100		0.007076826382301516
1-80-50-50		0.007340674115419521
5-80-50-25		0.007694278305252755
5-80-25-50		0.007765148359139484
5-100-50-25		0.008007991883936949
5-100-25-50		0.008378425061814899
1-60-100-25		0.009061345103211327
10-60-50-50		0.009760999736994246
5-60-50-50		0.009966868195888079
10-80-25-100		0.010483813689123257
1-60-50-25		0.011508059545843973
1-60-50-100		0.011559679481531493
10-100-25-100		0.013547097458638736
10-100-25-50		0.013889823092118458
10-80-25-50		0.014764828943551666
5-100-25-100		0.014953383522818964
5-80-25-25		0.01996667749468335
1-100-25-100		0.021220704201434605
10-80-25-25		0.02176597836747307
5-60-50-25		0.02361724581566369
5-60-25-100		0.02521806312608783
5-80-25-100		0.02565431007347909
1-100-25-50		0.025791113820979115
5-100-25-25		0.02952883903644734
5-60-25-25		0.03093194488409514
1-80-25-25		0.03854824764855715
5-60-25-50		0.0397319613750855
10-60-25-25		0.04110211239005972
10-60-25-50		0.04812124540874292
1-60-25-50		0.05311274370219925
1-60-25-25		0.06590449491085985
1-60-25-100		0.07226816405650523
10-100-25-25		0.1288413947028384
1-80-25-50		0.13064417529754194
1-80-25-100		0.1509805803339778
1-100-25-25		0.21702627937573543
